years_interp,seconds_interp,seconds_zero,sunspots_interp
1792.006849315066,56512727999.99992,2885759999.9999237,105.42465753427518
1792.1164383561618,56516183999.99992,2889215999.9999237,104.21917808222042
1792.2260273972577,56519639999.99992,2892671999.9999237,103.01369863016566
1792.3356164383536,56523095999.99992,2896127999.9999237,101.8082191781109
1792.4452054794494,56526551999.99992,2899583999.9999237,100.60273972605614
1792.5547945205453,56530007999.99992,2903039999.9999237,98.80547945211183
1792.6643835616412,56533463999.99992,2906495999.9999237,96.41643835622149
1792.773972602737,56536919999.99992,2909951999.9999237,94.02739726033114
1792.883561643833,56540375999.99992,2913407999.9999237,91.63835616444081
1792.9931506849289,56543831999.99992,2916863999.9999237,89.24931506855046
1793.1027397260248,56547287999.99992,2920319999.9999237,86.86027397266011
1793.2123287671207,56550743999.99992,2923775999.9999237,84.47123287676978
1793.3219178082165,56554199999.99992,2927231999.9999237,82.08219178087943
1793.4315068493124,56557655999.99992,2930687999.9999237,79.69315068498909
1793.5410958904083,56561111999.99992,2934143999.9999237,77.7931506849577
1793.6506849315042,56564567999.99992,2937599999.9999237,76.70821917810841
1793.7602739726,56568023999.99992,2941055999.9999237,75.62328767125912
1793.869863013696,56571479999.99992,2944511999.9999237,74.53835616440983
1793.9794520547919,56574935999.99992,2947967999.9999237,73.45342465756055
1794.0890410958878,56578391999.99992,2951423999.9999237,72.36849315071126
1794.1986301369836,56581847999.99992,2954879999.9999237,71.28356164386199
1794.3082191780795,56585303999.99992,2958335999.9999237,70.1986301370127
1794.4178082191754,56588759999.99992,2961791999.9999237,69.11369863016341
1794.5273972602713,56592215999.99992,2965247999.9999237,67.40136986310135
1794.6369863013672,56595671999.99992,2968703999.9999237,63.80684931515625
1794.746575342463,56599127999.99992,2972159999.9999237,60.21232876721115
1794.856164383559,56602583999.99992,2975615999.9999237,56.61780821926604
1794.9657534246548,56606039999.99992,2979071999.9999237,53.023287671320944
1795.0753424657507,56609495999.99992,2982527999.9999237,49.428767123375835
1795.1849315068466,56612951999.99992,2985983999.9999237,45.83424657543073
1795.2945205479425,56616407999.99992,2989439999.9999237,42.23972602748563
1795.4041095890384,56619863999.99992,2992895999.9999237,38.64520547954053
1795.5136986301343,56623319999.99992,2996351999.9999237,35.37945205481829
1795.6232876712302,56626775999.99992,2999807999.9999237,34.41506849317447
1795.732876712326,56630231999.99992,3003263999.9999237,33.45068493153067
1795.842465753422,56633687999.99992,3006719999.9999237,32.48630136988686
1795.9520547945178,56637143999.99991,3010175999.9999084,31.521917808243053
1796.0616438356137,56640599999.99991,3013631999.9999084,30.557534246599243
1796.1712328767096,56644055999.99991,3017087999.9999084,29.593150684955436
1796.2808219178055,56647511999.99991,3020543999.9999084,28.628767123311626
1796.3904109589014,56650967999.99991,3023999999.9999084,27.66438356166782
1796.4999999999973,56654423999.99991,3027455999.9999084,26.700000000024012
1796.6095890410932,56657879999.99991,3030911999.9999084,24.94657534250946
1796.719178082189,56661335999.99991,3034367999.9999084,23.19315068497526
1796.828767123285,56664791999.99991,3037823999.9999084,21.439726027441065
1796.9383561643808,56668247999.99991,3041279999.9999084,19.686301369906868
1797.0479452054767,56671703999.99991,3044735999.9999084,17.93287671237267
1797.1575342465726,56675159999.99991,3048191999.9999084,16.179452054838475
1797.2671232876685,56678615999.99991,3051647999.9999084,14.426027397304278
1797.3767123287644,56682071999.99991,3055103999.9999084,12.672602739770081
1797.4863013698603,56685527999.99991,3058559999.9999084,10.919178082235884
1797.5958904109561,56688983999.99991,3062015999.9999084,10.326027397271035
1797.705479452052,56692439999.99991,3065471999.9999084,9.898630136997076
1797.815068493148,56695895999.99991,3068927999.9999084,9.471232876723114
1797.9246575342438,56699351999.99991,3072383999.9999084,9.043835616449154
1798.0342465753397,56702807999.99991,3075839999.9999084,8.616438356175195
1798.1438356164356,56706263999.99991,3079295999.9999084,8.189041095901235
1798.2534246575315,56709719999.99991,3082751999.9999084,7.7616438356272734
1798.3630136986274,56713175999.99991,3086207999.9999084,7.334246575353314
1798.4726027397232,56716631999.99991,3089663999.9999084,6.906849315079352
1798.5821917808191,56720087999.99991,3093119999.9999084,7.1698630136860855
1798.691780821915,56723543999.99991,3096575999.9999084,7.663013698617578
1798.801369863011,56726999999.99991,3100031999.9999084,8.156164383549072
1798.9109589041068,56730455999.99991,3103487999.9999084,8.649315068480565
1799.0205479452027,56733911999.99991,3106943999.9999084,9.142465753412058
1799.1301369862986,56737367999.99991,3110399999.9999084,9.63561643834355
1799.2397260273945,56740823999.99991,3113855999.9999084,10.128767123275043
1799.3493150684903,56744279999.99991,3117311999.9999084,10.621917808206536
1799.4589041095862,56747735999.99991,3120767999.9999084,11.115068493138029
1799.5684931506821,56751191999.99991,3124223999.9999084,12.183561643799294
1799.678082191778,56754647999.99991,3127679999.9999084,13.597260273936241
1799.787671232874,56758103999.99991,3131135999.9999084,15.010958904073187
1799.8972602739698,56761559999.99991,3134591999.9999084,16.424657534210134
1800.0068493150657,56765015999.99991,3138047999.9999084,17.83835616434708
1800.1164383561616,56768471999.99991,3141503999.9999084,19.252054794484025
1800.2260273972574,56771927999.99991,3144959999.9999084,20.66575342462097
1800.3356164383533,56775383999.99991,3148415999.9999084,22.079452054757915
1800.4452054794492,56778839999.99991,3151871999.9999084,23.493150684894864
1800.554794520545,56782295999.99991,3155327999.9999084,25.980821917715797
1800.664383561641,56785751999.99991,3158783999.9999084,29.542465753332134
1800.7739726027369,56789207999.99991,3162239999.9999084,33.104109588948475
1800.8835616438328,56792663999.99991,3165695999.9999084,36.66575342456481
1800.9931506849287,56796119999.99991,3169151999.9999084,40.22739726018115
1801.1027397260245,56799575999.99991,3172607999.9999084,43.78904109579749
1801.2123287671204,56803031999.99991,3176063999.9999084,47.350684931413824
1801.3219178082163,56806487999.99991,3179519999.9999084,50.91232876703016
1801.4315068493122,56809943999.99991,3182975999.9999084,54.4739726026465
1801.541095890408,56813399999.99991,3186431999.9999084,57.452054794468
1801.650684931504,56816855999.99991,3189887999.9999084,59.457534246522734
1801.7602739725999,56820311999.99991,3193343999.9999084,61.46301369857747
1801.8698630136957,56823767999.99991,3196799999.9999084,63.46849315063221
1801.9794520547916,56827223999.99991,3200255999.9999084,65.47397260268694
1802.0890410958875,56830679999.99991,3203711999.9999084,67.47945205474169
1802.1986301369834,56834135999.99991,3207167999.9999084,69.48493150679641
1802.3082191780793,56837591999.99991,3210623999.9999084,71.49041095885116
1802.4178082191752,56841047999.99991,3214079999.9999084,73.4958904109059
1802.527397260271,56844503999.99991,3217535999.9999084,74.91232876713256
1802.636986301367,56847959999.99991,3220991999.9999084,74.56164383562573
1802.7465753424628,56851415999.99991,3224447999.9999084,74.21095890411888
1802.8561643835587,56854871999.99991,3227903999.9999084,73.86027397261205
1802.9657534246546,56858327999.99991,3231359999.9999084,73.50958904110522
1803.0753424657505,56861783999.99991,3234815999.9999084,73.15890410959837
